id,conformed_submission_type,filer_central_index_key,filer_former_company_former_conformed_name,filer_company_conformed_name,accession_number,filed_as_of_date,conformed_period_of_report
000162/1621563/0001104659-17-068949.txt,CORRESP,0001621563,,"Summit Materials, Inc.",0001104659-17-068949,2017-11-15 00:00:00+00:00,2017-12-27 00:00:00+00:00
000159/1596783/0001193125-16-550478.txt,CORRESP,0001596783,PTS Holdings Corp.,"Catalent, Inc.",0001193125-16-550478,2016-04-21 00:00:00+00:00,2016-07-12 00:00:00+00:00
000132/1326801/0001193125-16-772580.txt,CORRESP,0001326801,,Facebook Inc,0001193125-16-772580,2016-11-18 00:00:00+00:00,2017-02-22 00:00:00+00:00
000083/831641/0001104659-16-111749.txt,CORRESP,0000831641,,TETRA TECH INC,0001104659-16-111749,2016-04-15 00:00:00+00:00,2016-05-17 00:00:00+00:00
000106/1066104/0001564590-16-020863.txt,CORRESP,0001066104,CORPORATE EXECUTIVE BOARD CO,CEB Inc.,0001564590-16-020863,2016-06-27 00:00:00+00:00,2016-08-09 00:00:00+00:00
000167/1675149/0001193125-17-187621.txt,CORRESP,0001675149,Alcoa Upstream Corp,Alcoa Corp,0001193125-17-187621,2017-05-30 00:00:00+00:00,2017-08-01 00:00:00+00:00
000075/757010/0000757010-16-000061.txt,CORRESP,0000757010,,FRANKLIN TAX FREE TRUST,0000757010-16-000061,2016-01-28 00:00:00+00:00,2016-05-04 00:00:00+00:00
000009/98362/0000098362-16-000147.txt,CORRESP,0000098362,TIMKEN ROLLER BEARING CO,TIMKEN CO,0000098362-16-000147,2016-07-01 00:00:00+00:00,2016-08-02 00:00:00+00:00
000088/885590/0001341004-16-001271.txt,CORRESP,0000885590,BIOVAIL Corp,"Valeant Pharmaceuticals International, Inc.",0001341004-16-001271,2016-04-08 00:00:00+00:00,2016-05-24 00:00:00+00:00
000136/1365555/0001365555-17-000011.txt,CORRESP,0001365555,,"Amtrust Financial Services, Inc.",0001365555-17-000011,2017-01-20 00:00:00+00:00,2017-03-20 00:00:00+00:00
000092/926864/0001564590-17-013347.txt,CORRESP,0000926864,EMPRESA NACIONAL DE ELECTRICIDAD S.A.,ENEL GENERACION CHILE S.A.,0001564590-17-013347,2017-07-11 00:00:00+00:00,2017-08-11 00:00:00+00:00
000079/794323/0000794323-16-000031.txt,CORRESP,0000794323,KIEWIT PETER SONS INC,LEVEL 3 COMMUNICATIONS INC,0000794323-16-000031,2016-05-16 00:00:00+00:00,2016-06-28 00:00:00+00:00
000157/1578845/0001193125-17-043682.txt,CORRESP,0001578845,Actavis plc,Allergan plc,0001193125-17-043682,2017-02-14 00:00:00+00:00,2017-03-22 00:00:00+00:00
000088/885590/0001341004-16-001140.txt,CORRESP,0000885590,BIOVAIL Corp,"Valeant Pharmaceuticals International, Inc.",0001341004-16-001140,2016-02-16 00:00:00+00:00,2016-05-24 00:00:00+00:00
000103/1030894/0001104659-16-144811.txt,CORRESP,0001030894,,CELESTICA INC,0001104659-16-144811,2016-09-15 00:00:00+00:00,2016-10-28 00:00:00+00:00
000157/1571371/0001104659-17-045101.txt,CORRESP,0001571371,,"Summit Materials, LLC",0001104659-17-045101,2017-07-14 00:00:00+00:00,2017-12-27 00:00:00+00:00
000162/1621563/0001104659-17-045101.txt,CORRESP,0001621563,,"Summit Materials, Inc.",0001104659-17-045101,2017-07-14 00:00:00+00:00,2017-12-27 00:00:00+00:00
000171/1711744/0001193125-17-267555.txt,CORRESP,0001711744,,"Alexander & Baldwin REIT Holdings, Inc.",0001193125-17-267555,2017-08-25 00:00:00+00:00,2017-11-14 00:00:00+00:00
000009/97745/0000097745-16-000052.txt,CORRESP,0000097745,THERMO ELECTRON CORP,THERMO FISHER SCIENTIFIC INC.,0000097745-16-000052,2016-05-02 00:00:00+00:00,2016-06-08 00:00:00+00:00
000135/1355064/0001580642-17-001878.txt,CORRESP,0001355064,CATALYST FUNDS,MUTUAL FUND SERIES TRUST,0001580642-17-001878,2017-03-24 00:00:00+00:00,2017-06-12 00:00:00+00:00
000128/1280263/0001193125-16-780799.txt,CORRESP,0001280263,,AMBARELLA INC,0001193125-16-780799,2016-11-30 00:00:00+00:00,2017-01-09 00:00:00+00:00
000164/1645494/0001193125-17-183312.txt,CORRESP,0001645494,ARRIS International Ltd,ARRIS International plc,0001193125-17-183312,2017-05-25 00:00:00+00:00,2017-06-30 00:00:00+00:00
000130/1305294/0001193125-16-592036.txt,CORRESP,0001305294,,QLIK TECHNOLOGIES INC,0001193125-16-592036,2016-05-16 00:00:00+00:00,2016-07-19 00:00:00+00:00
000009/93410/0000093410-16-000078.txt,CORRESP,0000093410,CHEVRONTEXACO CORP,CHEVRON CORP,0000093410-16-000078,2016-10-21 00:00:00+00:00,2017-02-13 00:00:00+00:00
000007/78239/0000078239-17-000026.txt,CORRESP,0000078239,PHILLIPS VAN HEUSEN CORP /DE/,PVH CORP. /DE/,0000078239-17-000026,2017-07-25 00:00:00+00:00,2017-09-19 00:00:00+00:00
000130/1308547/0001628280-16-012199.txt,CORRESP,0001308547,,"Dolby Laboratories, Inc.",0001628280-16-012199,2016-03-02 00:00:00+00:00,2016-05-23 00:00:00+00:00
000157/1577916/0001577916-17-000020.txt,CORRESP,0001577916,,"Premier, Inc.",0001577916-17-000020,2017-10-06 00:00:00+00:00,2017-11-21 00:00:00+00:00
000171/1716586/0001104659-17-071975.txt,CORRESP,0001716586,BOULEVARD ACQUISITION CORP II CAYMAN HOLDING Co,BOULEVARD ACQUISITION CORP II CAYMAN HOLDING Co,0001104659-17-071975,2017-12-06 00:00:00+00:00,2018-01-09 00:00:00+00:00
000102/1021270/0001104659-17-075677.txt,CORRESP,0001021270,,FAMOUS DAVES OF AMERICA INC,0001104659-17-075677,2017-12-29 00:00:00+00:00,2018-04-06 00:00:00+00:00
000005/52988/0001193125-16-523088.txt,CORRESP,0000052988,,JACOBS ENGINEERING GROUP INC /DE/,0001193125-16-523088,2016-03-30 00:00:00+00:00,2016-05-13 00:00:00+00:00
000002/21665/0001628280-16-017320.txt,CORRESP,0000021665,,COLGATE PALMOLIVE CO,0001628280-16-017320,2016-06-24 00:00:00+00:00,2016-08-23 00:00:00+00:00
000151/1514705/0001193125-16-731447.txt,CORRESP,0001514705,,"SunCoke Energy, Inc.",0001193125-16-731447,2016-10-05 00:00:00+00:00,2016-12-14 00:00:00+00:00
000126/1262976/0001262976-16-000041.txt,CORRESP,0001262976,VISTAPRINT N.V.,CIMPRESS N.V.,0001262976-16-000041,2016-04-13 00:00:00+00:00,2016-05-13 00:00:00+00:00
000000/6955/0000006955-17-000018.txt,CORRESP,0000006955,APPLIED POWER INC,ACTUANT CORP,0000006955-17-000018,2017-03-29 00:00:00+00:00,2017-04-28 00:00:00+00:00
000070/708819/0001193125-17-275647.txt,CORRESP,0000708819,,MCDERMOTT INTERNATIONAL INC,0001193125-17-275647,2017-09-01 00:00:00+00:00,2017-10-06 00:00:00+00:00
000133/1339947/0001339947-17-000013.txt,CORRESP,0001339947,New Viacom Corp.,Viacom Inc.,0001339947-17-000013,2017-03-01 00:00:00+00:00,2017-03-30 00:00:00+00:00
000106/1065088/0001065088-17-000044.txt,CORRESP,0001065088,,EBAY INC,0001065088-17-000044,2017-10-12 00:00:00+00:00,2017-11-17 00:00:00+00:00
000088/883241/0001193125-16-515193.txt,CORRESP,0000883241,,SYNOPSYS INC,0001193125-16-515193,2016-03-23 00:00:00+00:00,2016-05-04 00:00:00+00:00
000101/1018840/0001018840-16-000069.txt,CORRESP,0001018840,,ABERCROMBIE & FITCH CO /DE/,0001018840-16-000069,2016-01-20 00:00:00+00:00,2016-02-25 00:00:00+00:00
000081/817720/0001193125-17-116194.txt,CORRESP,0000817720,SYNAPTICS INC,SYNAPTICS Inc,0001193125-17-116194,2017-04-07 00:00:00+00:00,2017-05-11 00:00:00+00:00
000169/1697500/0001193125-17-113910.txt,CORRESP,0001697500,,"Solaris Oilfield Infrastructure, Inc.",0001193125-17-113910,2017-04-06 00:00:00+00:00,2017-06-09 00:00:00+00:00
000021/215466/0000215466-16-000242.txt,CORRESP,0000215466,COEUR D ALENE MINES CORP,"Coeur Mining, Inc.",0000215466-16-000242,2016-11-04 00:00:00+00:00,2017-01-13 00:00:00+00:00
000130/1306830/0001306830-16-000400.txt,CORRESP,0001306830,Celanese CORP,Celanese Corp,0001306830-16-000400,2016-10-04 00:00:00+00:00,2016-11-23 00:00:00+00:00
000035/357310/0000357310-16-000037.txt,CORRESP,0000357310,FRANKLIN CASH MANAGEMENT FUND,FRANKLIN FEDERAL TAX FREE INCOME FUND,0000357310-16-000037,2016-08-10 00:00:00+00:00,2016-12-15 00:00:00+00:00
000081/816284/0001104659-16-140054.txt,CORRESP,0000816284,,CELGENE CORP /DE/,0001104659-16-140054,2016-08-16 00:00:00+00:00,2016-11-15 00:00:00+00:00
000100/1001614/0001140361-16-090428.txt,CORRESP,0001001614,,TENGASCO INC,0001140361-16-090428,2016-12-21 00:00:00+00:00,2017-01-31 00:00:00+00:00
000100/1002910/0001193125-16-623793.txt,CORRESP,0001002910,,AMEREN CORP,0001193125-16-623793,2016-06-16 00:00:00+00:00,2016-07-19 00:00:00+00:00
000163/1638833/0001193125-16-554202.txt,CORRESP,0001638833,,"Surgery Partners, Inc.",0001193125-16-554202,2016-04-25 00:00:00+00:00,2016-06-09 00:00:00+00:00
000002/28823/0000028823-16-000162.txt,CORRESP,0000028823,,DIEBOLD INC,0000028823-16-000162,2016-04-21 00:00:00+00:00,2016-06-02 00:00:00+00:00
000130/1308547/0001628280-16-010720.txt,CORRESP,0001308547,,"Dolby Laboratories, Inc.",0001628280-16-010720,2016-02-03 00:00:00+00:00,2016-05-23 00:00:00+00:00
000168/1682241/0001144204-17-014060.txt,CORRESP,0001682241,,Dragon Victory International Ltd,0001144204-17-014060,2017-03-10 00:00:00+00:00,2017-08-25 00:00:00+00:00
000156/1565025/0001292814-16-005435.txt,CORRESP,0001565025,InBev Corporate Holdings Inc.,AMBEV S.A.,0001292814-16-005435,2016-07-28 00:00:00+00:00,2016-09-08 00:00:00+00:00
000165/1659939/0001564590-17-013352.txt,CORRESP,0001659939,Enersis Chile S.A.,Enel Chile S.A.,0001564590-17-013352,2017-07-11 00:00:00+00:00,2017-08-11 00:00:00+00:00
000132/1321646/0001321646-17-000105.txt,CORRESP,0001321646,"Kraton Performance Polymers, Inc.",Kraton Corp,0001321646-17-000105,2017-07-27 00:00:00+00:00,2017-08-31 00:00:00+00:00
000139/1398659/0001564590-17-007946.txt,CORRESP,0001398659,,Genpact LTD,0001564590-17-007946,2017-05-01 00:00:00+00:00,2017-08-10 00:00:00+00:00
000000/6201/0001193125-16-603002.txt,CORRESP,0000006201,AMR CORP,American Airlines Group Inc.,0001193125-16-603002,2016-05-26 00:00:00+00:00,2016-06-30 00:00:00+00:00
000161/1617898/0001558370-17-006991.txt,CORRESP,0001617898,,KLX Inc.,0001558370-17-006991,2017-09-08 00:00:00+00:00,2017-10-11 00:00:00+00:00
000090/909037/0001144204-16-131806.txt,CORRESP,0000909037,,CHEMICAL & MINING CO OF CHILE INC,0001144204-16-131806,2016-11-04 00:00:00+00:00,2016-12-15 00:00:00+00:00
000169/1694028/0001193125-17-089795.txt,CORRESP,0001694028,,Liberty Oilfield Services Inc.,0001193125-17-089795,2017-03-20 00:00:00+00:00,2018-02-16 00:00:00+00:00
000114/1141391/0001141391-16-000124.txt,CORRESP,0001141391,,MASTERCARD INC,0001141391-16-000124,2016-04-13 00:00:00+00:00,2016-06-08 00:00:00+00:00
000001/14930/0000014930-17-000093.txt,CORRESP,0000014930,BRUNSWICK BALKE COLLENDER CO,BRUNSWICK CORP,0000014930-17-000093,2017-06-02 00:00:00+00:00,2017-07-05 00:00:00+00:00
000136/1363829/0001628280-16-016802.txt,CORRESP,0001363829,Castlewood Holdings LTD,Enstar Group LTD,0001628280-16-016802,2016-05-27 00:00:00+00:00,2016-07-20 00:00:00+00:00
000139/1399520/0001144204-17-000828.txt,CORRESP,0001399520,COMMITTED CAPITAL ACQUISITION Corp,"ONE Group Hospitality, Inc.",0001144204-17-000828,2017-01-05 00:00:00+00:00,2017-05-04 00:00:00+00:00
000110/1109354/0001104659-17-042756.txt,CORRESP,0001109354,BRUKER BIOSCIENCES CORP,BRUKER CORP,0001104659-17-042756,2017-06-30 00:00:00+00:00,2017-08-14 00:00:00+00:00
000021/215466/0000215466-16-000248.txt,CORRESP,0000215466,COEUR D ALENE MINES CORP,"Coeur Mining, Inc.",0000215466-16-000248,2016-12-06 00:00:00+00:00,2017-01-13 00:00:00+00:00
000141/1418091/0001564590-16-016824.txt,CORRESP,0001418091,Twitter Inc,"TWITTER, INC.",0001564590-16-016824,2016-04-27 00:00:00+00:00,2016-06-01 00:00:00+00:00
000082/827054/0000827054-17-000126.txt,CORRESP,0000827054,,MICROCHIP TECHNOLOGY INC,0000827054-17-000126,2017-07-19 00:00:00+00:00,2017-09-01 00:00:00+00:00
000161/1616862/0001193125-16-733949.txt,CORRESP,0001616862,,Axalta Coating Systems Ltd.,0001193125-16-733949,2016-10-07 00:00:00+00:00,2016-12-13 00:00:00+00:00
000008/88121/0000088121-16-000054.txt,CORRESP,0000088121,SEABOARD ALLIED MILLING CORP,SEABOARD CORP /DE/,0000088121-16-000054,2016-03-22 00:00:00+00:00,2016-06-07 00:00:00+00:00
000004/49905/0001104659-16-150223.txt,CORRESP,0000049905,HARTFORD FORTIS SERIES FUND INC,HARTFORD MUTUAL FUNDS II INC,0001104659-16-150223,2016-10-14 00:00:00+00:00,2016-11-07 00:00:00+00:00
000085/856517/0001623632-17-001388.txt,CORRESP,0000856517,MONEY MARKET OBLIGATIONS TRUST /NEW/,MONEY MARKET OBLIGATIONS TRUST,0001623632-17-001388,2017-06-27 00:00:00+00:00,2019-01-28 00:00:00+00:00
000146/1467373/0001467373-17-000080.txt,CORRESP,0001467373,,Accenture plc,0001467373-17-000080,2017-02-06 00:00:00+00:00,2017-03-29 00:00:00+00:00
000157/1578845/0001193125-17-006817.txt,CORRESP,0001578845,Actavis plc,Allergan plc,0001193125-17-006817,2017-01-10 00:00:00+00:00,2017-03-22 00:00:00+00:00
000164/1647339/0001647339-17-000002.txt,CORRESP,0001647339,,Accenture Holdings plc,0001647339-17-000002,2017-02-06 00:00:00+00:00,2017-07-03 00:00:00+00:00
000156/1567892/0001567892-17-000012.txt,CORRESP,0001567892,,Mallinckrodt plc,0001567892-17-000012,2017-02-09 00:00:00+00:00,2017-04-03 00:00:00+00:00
000159/1596783/0001193125-16-497777.txt,CORRESP,0001596783,PTS Holdings Corp.,"Catalent, Inc.",0001193125-16-497777,2016-03-09 00:00:00+00:00,2016-07-12 00:00:00+00:00
000100/1008848/0001008848-16-000124.txt,CORRESP,0001008848,,ACORDA THERAPEUTICS INC,0001008848-16-000124,2016-09-13 00:00:00+00:00,2016-11-23 00:00:00+00:00
000137/1372020/0001564590-17-024186.txt,CORRESP,0001372020,Great Lakes Dredge & Dock Holdings Corp.,Great Lakes Dredge & Dock CORP,0001564590-17-024186,2017-11-21 00:00:00+00:00,2017-12-27 00:00:00+00:00
000168/1687277/0001213900-17-008239.txt,CORRESP,0001687277,,"ReTo Eco-Solutions, Inc.",0001213900-17-008239,2017-08-04 00:00:00+00:00,2017-12-27 00:00:00+00:00
000153/1530721/0001530721-17-000082.txt,CORRESP,0001530721,,Michael Kors Holdings Ltd,0001530721-17-000082,2017-09-08 00:00:00+00:00,2017-10-12 00:00:00+00:00
000139/1390844/0001390844-16-000032.txt,CORRESP,0001390844,,WABCO Holdings Inc.,0001390844-16-000032,2016-10-12 00:00:00+00:00,2016-11-10 00:00:00+00:00
000141/1415921/0001193125-17-067681.txt,CORRESP,0001415921,,Navios Maritime Partners L.P.,0001193125-17-067681,2017-03-02 00:00:00+00:00,2017-06-05 00:00:00+00:00
000139/1398659/0001564590-17-012658.txt,CORRESP,0001398659,,Genpact LTD,0001564590-17-012658,2017-06-16 00:00:00+00:00,2017-08-10 00:00:00+00:00
000157/1571996/0001193125-16-611861.txt,CORRESP,0001571996,Denali Holding Inc.,Denali Holding Inc.,0001193125-16-611861,2016-06-03 00:00:00+00:00,2016-08-26 00:00:00+00:00
000158/1585364/0001585364-16-000419.txt,CORRESP,0001585364,PERRIGO Co Ltd,PERRIGO Co plc,0001585364-16-000419,2016-10-14 00:00:00+00:00,2016-12-20 00:00:00+00:00
000082/827054/0001193125-16-655009.txt,CORRESP,0000827054,,MICROCHIP TECHNOLOGY INC,0001193125-16-655009,2016-07-22 00:00:00+00:00,2016-08-30 00:00:00+00:00
000154/1547576/0001144204-16-084550.txt,CORRESP,0001547576,,Krane Shares Trust,0001144204-16-084550,2016-02-26 00:00:00+00:00,2016-03-30 00:00:00+00:00
000106/1065088/0001065088-17-000041.txt,CORRESP,0001065088,,EBAY INC,0001065088-17-000041,2017-09-28 00:00:00+00:00,2017-11-17 00:00:00+00:00
000135/1359841/0001359841-16-000417.txt,CORRESP,0001359841,,Hanesbrands Inc.,0001359841-16-000417,2016-11-21 00:00:00+00:00,2017-03-01 00:00:00+00:00
000004/42582/0001193125-17-005710.txt,CORRESP,0000042582,,GOODYEAR TIRE & RUBBER CO /OH/,0001193125-17-005710,2017-01-09 00:00:00+00:00,2017-04-21 00:00:00+00:00
000093/938323/0001193125-16-678666.txt,CORRESP,0000938323,,PEARSON PLC,0001193125-16-678666,2016-08-11 00:00:00+00:00,2016-09-23 00:00:00+00:00
000159/1596783/0001193125-16-597384.txt,CORRESP,0001596783,PTS Holdings Corp.,"Catalent, Inc.",0001193125-16-597384,2016-05-20 00:00:00+00:00,2016-07-12 00:00:00+00:00
000131/1316835/0001193125-17-005729.txt,CORRESP,0001316835,,"Builders FirstSource, Inc.",0001193125-17-005729,2017-01-09 00:00:00+00:00,2017-02-21 00:00:00+00:00
000111/1114483/0001193125-17-160248.txt,CORRESP,0001114483,"GREATBATCH, INC.",Integer Holdings Corp,0001193125-17-160248,2017-05-05 00:00:00+00:00,2017-06-05 00:00:00+00:00
000100/1001614/0001140361-16-090529.txt,CORRESP,0001001614,,TENGASCO INC,0001140361-16-090529,2016-12-22 00:00:00+00:00,2017-01-31 00:00:00+00:00
000135/1356090/0001193125-17-159342.txt,CORRESP,0001356090,,INTREXON CORP,0001193125-17-159342,2017-05-04 00:00:00+00:00,2017-06-26 00:00:00+00:00
000159/1593936/0001104659-16-120843.txt,CORRESP,0001593936,,"Michaels Companies, Inc.",0001104659-16-120843,2016-05-13 00:00:00+00:00,2016-06-15 00:00:00+00:00
000094/946581/0001104659-17-061346.txt,CORRESP,0000946581,,TAKE TWO INTERACTIVE SOFTWARE INC,0001104659-17-061346,2017-10-06 00:00:00+00:00,2017-11-22 00:00:00+00:00
000159/1595761/0001104659-16-143883.txt,CORRESP,0001595761,,WEIBO Corp,0001104659-16-143883,2016-09-09 00:00:00+00:00,2016-10-21 00:00:00+00:00
000116/1164727/0001193125-17-120314.txt,CORRESP,0001164727,DELTA HOLDCO CORP,NEWMONT MINING CORP /DE/,0001193125-17-120314,2017-04-11 00:00:00+00:00,2017-05-22 00:00:00+00:00
000106/1062047/0001062047-17-000023.txt,CORRESP,0001062047,,CONVERGYS CORP,0001062047-17-000023,2017-05-02 00:00:00+00:00,2017-06-13 00:00:00+00:00
000164/1643848/0001567619-16-002565.txt,CORRESP,0001643848,Patheon Holdings Cooperatief U.A.,Patheon N.V.,0001567619-16-002565,2016-07-05 00:00:00+00:00,2016-08-17 00:00:00+00:00
000089/898293/0001193125-16-795293.txt,CORRESP,0000898293,,JABIL CIRCUIT INC,0001193125-16-795293,2016-12-16 00:00:00+00:00,2017-01-25 00:00:00+00:00
000100/1009001/0001193125-17-232790.txt,CORRESP,0001009001,,CAMECO CORP,0001193125-17-232790,2017-07-21 00:00:00+00:00,2017-09-20 00:00:00+00:00
000002/29644/0000897101-16-002041.txt,CORRESP,0000029644,,DONALDSON CO INC,0000897101-16-002041,2016-03-18 00:00:00+00:00,2016-04-22 00:00:00+00:00
000139/1397187/0001397187-17-000031.txt,CORRESP,0001397187,Lululemon Corp.,lululemon athletica inc.,0001397187-17-000031,2017-07-14 00:00:00+00:00,2017-08-31 00:00:00+00:00
000004/43920/0000043920-17-000031.txt,CORRESP,0000043920,GREIF BROTHERS CORP,GREIF INC,0000043920-17-000031,2017-06-13 00:00:00+00:00,2017-07-31 00:00:00+00:00
000143/1437557/0001213900-16-013568.txt,CORRESP,0001437557,"RECOVERY ENERGY, INC.","LILIS ENERGY, INC.",0001213900-16-013568,2016-05-17 00:00:00+00:00,2016-06-09 00:00:00+00:00
000163/1639691/0001639691-17-000065.txt,CORRESP,0001639691,Sand Holdco Plc,LivaNova PLC,0001639691-17-000065,2017-06-29 00:00:00+00:00,2017-08-08 00:00:00+00:00
000161/1611820/0001193125-16-618833.txt,CORRESP,0001611820,,LINE Corp,0001193125-16-618833,2016-06-10 00:00:00+00:00,2016-08-11 00:00:00+00:00
000104/1049659/0001292814-16-005780.txt,CORRESP,0001049659,,NATIONAL STEEL CO,0001292814-16-005780,2016-08-25 00:00:00+00:00,2017-02-24 00:00:00+00:00
000166/1669811/0001193125-18-004216.txt,CORRESP,0001669811,,"Donnelley Financial Solutions, Inc.",0001193125-18-004216,2018-01-05 00:00:00+00:00,2018-02-13 00:00:00+00:00
000133/1331284/0000950157-17-001176.txt,CORRESP,0001331284,"DHT Maritime, Inc.","DHT Holdings, Inc.",0000950157-17-001176,2017-08-04 00:00:00+00:00,2017-09-19 00:00:00+00:00
000126/1269238/0001104659-16-155286.txt,CORRESP,0001269238,,CTRIP COM INTERNATIONAL LTD,0001104659-16-155286,2016-11-08 00:00:00+00:00,2017-03-07 00:00:00+00:00
000152/1520697/0001193125-17-192377.txt,CORRESP,0001520697,,"Acadia Healthcare Company, Inc.",0001193125-17-192377,2017-06-02 00:00:00+00:00,2017-07-13 00:00:00+00:00
000009/93410/0000093410-16-000085.txt,CORRESP,0000093410,CHEVRONTEXACO CORP,CHEVRON CORP,0000093410-16-000085,2016-12-15 00:00:00+00:00,2017-02-13 00:00:00+00:00
000079/798081/0001144204-16-134624.txt,CORRESP,0000798081,,LAKELAND INDUSTRIES INC,0001144204-16-134624,2016-11-15 00:00:00+00:00,2017-04-11 00:00:00+00:00
000073/732717/0001193125-16-803302.txt,CORRESP,0000732717,SBC COMMUNICATIONS INC,AT&T INC.,0001193125-16-803302,2016-12-23 00:00:00+00:00,2017-02-28 00:00:00+00:00
000001/16040/0001193125-16-644406.txt,CORRESP,0000016040,CABOT GODFREY L INC,CABOT CORP,0001193125-16-644406,2016-07-08 00:00:00+00:00,2016-08-23 00:00:00+00:00
000031/310056/0000310056-17-000036.txt,CORRESP,0000310056,,VICON INDUSTRIES INC /NY/,0000310056-17-000036,2017-09-07 00:00:00+00:00,2017-10-17 00:00:00+00:00
000102/1026655/0001026655-16-000070.txt,CORRESP,0001026655,CORE MATERIALS CORP,CORE MOLDING TECHNOLOGIES INC,0001026655-16-000070,2016-09-02 00:00:00+00:00,2016-10-07 00:00:00+00:00
000129/1296445/0000893838-16-000142.txt,CORRESP,0001296445,,"ORMAT TECHNOLOGIES, INC.",0000893838-16-000142,2016-07-21 00:00:00+00:00,2016-10-06 00:00:00+00:00
000076/768835/0000768835-16-000076.txt,CORRESP,0000768835,,BIG LOTS INC,0000768835-16-000076,2016-01-27 00:00:00+00:00,2016-02-29 00:00:00+00:00
000114/1141819/0000894189-16-012432.txt,CORRESP,0001141819,ZODIAC TRUST,TRUST FOR PROFESSIONAL MANAGERS,0000894189-16-012432,2016-10-21 00:00:00+00:00,2017-01-18 00:00:00+00:00
000141/1418091/0001564590-17-012077.txt,CORRESP,0001418091,Twitter Inc,"TWITTER, INC.",0001564590-17-012077,2017-06-02 00:00:00+00:00,2017-08-01 00:00:00+00:00
000035/357310/0000357310-16-000039.txt,CORRESP,0000357310,FRANKLIN CASH MANAGEMENT FUND,FRANKLIN FEDERAL TAX FREE INCOME FUND,0000357310-16-000039,2016-08-18 00:00:00+00:00,2016-12-15 00:00:00+00:00
000092/920760/0001628280-16-013124.txt,CORRESP,0000920760,PACIFIC GREYSTONE CORP /DE/,LENNAR CORP /NEW/,0001628280-16-013124,2016-03-25 00:00:00+00:00,2016-11-15 00:00:00+00:00
000006/65984/0000065984-16-000597.txt,CORRESP,0000065984,ENTERGY CORP /FL/,ENTERGY CORP /DE/,0000065984-16-000597,2016-06-17 00:00:00+00:00,2016-08-15 00:00:00+00:00
